Patron Type Definition,Total Checkouts,Total Renewals,Circulation Active Year
1,9,0,2013
1,28,1,2014
1,18,1,2007
1,15,3,2016
1,100,26,2013
1,150,16,2016
1,42,19,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,7,21,2016
1,15,0,2014
1,47,61,2016
1,2,0,2014
1,115,60,2016
1,16,7,2015
0,2,0,2014
1,184,48,2014
1,56,6,2014
1,10,6,2016
1,31,6,2014
1,132,58,2014
1,1,0,2005
1,19,20,2015
1,59,29,2014
1,3,3,2016
1,35,7,2013
0,1,0,2015
1,0,0,0
1,34,6,2015
1,38,15,2016
1,30,24,2015
1,1,2,2015
1,264,23,2015
1,23,50,2016
1,542,101,2016
1,15,3,2016
1,13,7,2013
1,37,0,2014
1,14,12,2012
1,191,227,2016
1,29,23,2013
1,627,35,2016
1,4,4,2012
1,52,73,2013
1,5,0,2013
1,5,0,2013
1,165,74,2016
1,30,0,2013
1,2,2,2013
1,277,71,2016
1,65,29,2015
1,30,4,2013
1,62,54,2016
1,16,0,2016
1,264,17,2015
1,316,0,2016
1,3,5,2015
1,159,9,2016
1,27,6,2015
0,5,0,2015
1,44,44,2016
1,48,14,2014
1,0,0,2016
1,67,58,2016
0,0,0,0
1,54,2,2014
1,13,12,2012
1,7,0,2013
0,0,0,0
1,5,0,2015
1,124,8,2016
1,28,14,2015
1,37,21,2014
1,2,0,2016
1,2,0,2016
1,175,102,2015
1,7,0,2013
1,41,9,2016
1,81,16,2016
1,0,0,0
1,273,720,2016
1,48,70,2016
1,6,2,2015
1,11,25,2015
1,0,0,0
1,1,0,2015
1,532,3,2016
0,0,0,0
1,1681,489,2016
1,1,0,2014
1,1,0,2014
0,0,0,2015
1,57,17,2008
1,0,0,2015
1,27,54,2016
1,305,291,2016
1,20,28,2015
1,173,76,2014
1,12,1,2013
1,190,55,2014
1,1,0,2014
1,31,0,2016
1,87,10,2014
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,86,33,2016
1,4,0,2015
0,3,0,2013
1,3,0,2013
1,170,52,2014
1,24,9,2016
1,0,0,0
1,1,0,2016
1,30,0,2011
1,12,5,2015
1,333,339,2016
1,4,0,2014
1,48,2,2014
1,30,21,2012
1,739,214,2016
1,7,0,2014
1,0,0,0
1,192,71,2016
1,32,53,2015
1,68,1,2014
1,24,12,2014
1,0,0,0
1,0,0,0
1,3,0,2014
1,0,0,0
1,2,3,2013
1,15,22,2014
1,11,8,2015
1,38,15,2016
1,322,266,2015
1,10,1,2016
1,224,270,2015
1,1,0,2014
1,1,0,2014
1,4,4,2015
1,3,0,2016
1,33,48,2016
1,589,47,2016
1,13,4,2015
0,158,3,2016
1,70,5,2016
1,74,1,2016
1,54,26,2016
1,19,0,2016
1,4,0,2013
0,0,0,0
0,1,0,2016
1,1,2,2016
1,25,24,2015
1,5,10,2014
1,126,4,2016
1,38,40,2016
1,32,26,2016
1,2,0,2015
1,3,2,2016
1,1,0,2016
1,1070,636,2016
1,86,36,2015
1,8,3,2014
1,27,2,2014
1,650,61,2016
1,154,9,2014
1,35,7,2016
1,2,0,2016
1,11,30,2015
1,38,2,2016
1,1074,27,2016
1,165,0,2016
0,23,0,2016
1,9,7,2015
1,207,77,2015
1,17,2,2016
1,0,0,0
1,2,0,2014
1,365,46,2016
1,8,5,2014
1,5,0,2014
1,1,0,2013
1,0,0,2016
1,57,11,2016
1,2,4,2014
1,31,5,2015
1,4,0,2015
1,4,0,2015
1,17,1,2014
1,10,0,2016
1,498,56,2016
1,16,0,2015
1,178,35,2015
1,19,7,2016
1,35,30,2013
1,66,118,2014
1,14,11,2014
1,7,7,2015
1,12,7,2014
1,61,26,2014
1,1,0,2015
1,2593,36,2015
1,50,1,2016
1,3,0,2013
1,15,0,2013
1,5,7,2014
1,1018,768,2016
0,1,0,2015
1,1,0,2016
1,27,32,2016
1,16,35,2016
1,143,26,2016
1,80,46,2012
1,1,0,2015
1,1,0,2015
1,37,0,2015
1,26,67,2016
1,14,2,2015
1,31,1,2016
1,5,0,2015
1,4,0,2016
1,17,4,2015
1,413,379,2016
1,35,23,2013
1,73,31,2016
1,0,0,0
1,139,2,2015
1,12,2,2015
1,2,0,2015
1,669,613,2016
1,265,66,2016
1,530,117,2015
1,843,401,2016
1,232,302,2016
1,4,1,2015
1,267,158,2016
1,46,8,2011
1,74,47,2012
1,31,8,2016
1,23,8,2014
1,0,0,2014
1,131,74,2016
1,55,14,2012
1,230,36,2013
1,1389,967,2016
0,2084,1020,2016
1,3,0,2014
1,3,0,2015
1,170,19,2014
1,27,9,2016
1,228,26,2016
1,9,9,2016
1,94,87,2015
1,2,0,2015
1,0,0,2014
1,344,134,2014
1,0,0,0
1,2,0,2015
1,2,0,2015
1,8,1,2016
1,10,0,2016
1,94,14,2016
1,31,3,2015
1,8,5,2010
1,330,114,2016
1,230,31,2015
1,92,4,2016
1,3,0,2013
1,11,42,2015
1,7,3,2014
1,19,1,2015
1,82,62,2013
1,51,5,2013
1,28,0,2016
1,28,23,2014
1,3,0,2013
1,21,5,2014
1,133,7,2016
1,37,4,2016
1,9,16,2014
1,58,27,2013
1,0,0,0
1,7,0,2013
1,1,0,2014
1,250,80,2016
1,527,8,2014
1,12,18,2013
1,62,8,2015
1,17,0,2014
1,0,0,0
1,0,0,0
1,959,178,2016
1,9,10,2016
1,7,0,2016
1,32,23,2014
1,20,0,2012
1,930,1508,2016
1,7,0,2014
1,85,60,2015
1,84,16,2015
1,10,10,2015
1,10,30,2015
1,3,0,2015
1,169,88,2016
1,45,3,2015
0,1,0,2016
1,12,2,2016
1,49,2,2013
1,22,1,2015
1,198,12,2014
1,181,125,2015
1,1234,1408,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,182,55,2016
1,6,9,2016
1,2,1,2015
1,107,44,2016
1,12,56,2014
1,8,0,2015
1,19,20,2016
1,2,0,2013
1,397,209,2016
1,628,531,2016
1,1390,82,2016
1,40,15,2016
1,3,0,2013
1,26,29,2016
1,94,10,2016
1,6,0,2015
1,0,0,0
1,0,0,0
1,24,11,2015
1,0,0,2014
1,5,20,2012
1,27,53,2015
1,12,13,2014
1,45,38,2015
1,62,7,2014
1,10,17,2015
1,185,39,2016
1,9,2,2014
1,30,23,2013
1,0,0,2014
1,0,0,2014
1,53,21,2014
1,0,0,0
1,4,0,2014
1,173,81,2014
1,990,674,2016
1,202,72,2014
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,16,1,2016
1,5,0,2015
1,1,0,2015
1,9,0,2011
1,22,18,2015
1,40,31,2015
1,92,44,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,5,4,2015
1,23,18,2016
1,1,0,2016
1,68,41,2007
1,27,50,2011
1,283,7,2016
1,0,0,0
1,4,0,2013
1,3,0,2016
1,319,142,2016
1,3,3,2015
1,8,1,2016
1,76,41,2015
1,108,54,2016
1,86,27,2016
1,12,12,2014
1,3,6,2015
1,448,8,2015
1,43,24,2016
1,10,34,2016
1,207,171,2014
1,84,0,2016
1,51,17,2016
1,735,12,2014
1,81,21,2015
1,162,77,2015
1,31,27,2016
1,142,178,2013
1,9,0,2013
1,10,25,2013
1,5,0,2016
1,681,1093,2016
1,12,0,2015
1,34,7,2015
1,65,6,2016
1,56,2,2014
1,14,36,2016
1,106,60,2016
1,3,0,2013
1,483,436,2016
1,3,0,2012
1,9,1,2013
1,99,61,2016
1,76,27,2016
1,207,93,2013
1,214,82,2016
1,8,11,2013
1,39,35,2015
0,2,0,2015
1,20,16,2016
1,22,0,2016
1,13,1,2014
1,171,75,2016
1,27,31,2015
1,91,0,2016
1,1,2,2015
1,809,2270,2016
1,3,0,2014
1,26,1,2016
1,4,0,2014
1,470,159,2016
1,1,0,2012
1,16,13,2016
1,21,6,2014
1,222,173,2015
1,23,25,2016
1,84,70,2016
1,1512,170,2015
1,143,3,2016
1,1,0,2013
1,1,0,2013
1,1,0,2013
1,29,3,2016
1,8,0,2016
1,66,9,2016
1,11,0,2013
1,27,0,2016
1,40,9,2014
1,10,0,2015
1,3,1,2016
1,77,69,2015
1,6,7,2015
1,102,81,2014
1,1,0,2016
1,10,4,2015
1,1,0,2014
1,75,5,2014
1,5,0,2013
1,567,379,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,79,25,2016
1,288,29,2016
1,65,0,2014
1,361,9,2016
1,70,17,2014
1,61,68,2016
1,66,0,2013
1,0,0,0
0,0,0,0
0,0,0,0
1,77,74,2016
1,44,28,2015
1,287,553,2016
1,1,0,2010
1,4,0,2016
1,260,5,2015
1,236,184,2013
1,3618,906,2016
1,3,0,2015
1,131,21,2015
1,1,0,2009
1,59,63,2016
1,2,0,2013
0,0,0,0
0,0,0,2015
1,72,19,2016
1,425,226,2016
1,49,7,2013
1,85,33,2016
1,29,41,2015
1,8,0,2013
0,6,0,2014
1,44,56,2015
1,12,1,2016
1,134,58,2014
1,61,31,2014
1,3,0,2012
1,2919,3655,2015
1,135,1,2014
1,58,44,2016
1,16,0,2007
1,16,9,2012
1,30,16,2016
1,1036,109,2016
1,174,197,2016
1,1,0,2016
1,23,4,2015
1,61,33,2016
1,7,10,2013
1,81,61,2008
1,1,0,2009
1,1,0,2015
1,10,0,2014
1,974,483,2015
1,27,46,2016
1,1,0,2014
0,3,4,2016
1,17,6,2015
1,32,39,2014
1,518,224,2016
1,86,128,2016
1,233,128,2015
1,0,0,0
1,0,0,0
1,4,0,2015
1,447,439,2016
1,1,0,2014
1,64,0,2014
1,22,2,2015
1,136,9,2014
1,2,0,2016
1,686,286,2015
1,261,380,2016
1,7,0,2014
1,38,14,2014
1,2164,500,2016
1,113,221,2016
1,3,0,2013
1,84,60,2016
1,0,0,0
1,41,0,2013
1,0,0,0
1,714,501,2016
1,129,155,2016
1,17,14,2012
1,8,0,2013
1,9,0,2016
1,67,12,2016
1,27,0,2015
1,172,182,2016
1,11,0,2016
1,0,0,2013
1,1955,124,2014
1,109,0,2016
1,8,0,2015
1,4625,1916,2016
1,28,18,2015
1,12,13,2013
1,51,4,2016
1,52,61,2015
1,12,6,2016
1,4,0,2016
0,6,0,2013
1,133,34,2016
1,134,11,2015
1,331,157,2015
1,24,5,2014
1,44,0,2014
1,5,10,2014
1,62,27,2016
1,1,0,2013
1,132,188,2016
1,207,24,2016
1,6,2,2016
1,49,7,2012
1,17,11,2014
1,94,68,2016
1,1,0,2015
1,1,2,2015
1,1882,299,2016
1,558,60,2014
1,1701,648,2016
1,217,85,2014
1,6,0,2016
1,1100,253,2016
1,12,3,2014
1,73,0,2014
0,4,0,2016
1,2061,104,2014
1,214,178,2014
1,13,0,2015
1,4,1,2011
1,151,19,2014
0,1,1,2015
1,10,0,2015
1,56,11,2016
1,474,132,2016
1,21,2,2013
1,0,0,0
1,22,18,2013
1,5,0,2014
1,3,0,2013
1,56,36,2015
1,1,0,2013
1,3,0,2015
1,29,8,2016
1,9,0,2014
1,78,61,2015
1,42,0,2016
1,39,59,2013
1,6,7,2014
1,160,128,2016
1,128,212,2016
0,1,0,2014
1,27,0,2015
1,22,2,2014
1,7,2,2014
1,0,0,0
1,0,0,0
1,0,0,0
1,77,6,2016
1,16,1,2016
1,15,22,2013
1,114,120,2016
1,135,291,2016
1,0,0,0
1,5,0,2016
1,43,7,2015
1,1,2,2014
1,1,2,2014
1,67,35,2013
1,9,14,2016
1,66,101,2014
1,22,0,2016
1,2,0,2015
1,28,41,2016
1,564,230,2016
1,16,6,2010
1,3111,305,2016
1,370,65,2016
1,33,17,2016
1,28,24,2015
1,57,201,2014
1,38,21,2016
1,10,12,2016
1,120,72,2016
1,20,8,2013
1,33,52,2016
1,68,18,2014
0,458,14,2016
1,477,373,2015
1,9,0,2014
1,1,0,2014
1,27,57,2016
0,3,0,2014
1,37,61,2016
1,3,0,2007
1,96,2,2016
1,456,49,2016
1,220,71,2016
1,216,40,2016
1,0,0,0
1,722,195,2015
1,2176,355,2016
1,31,46,2016
1,150,43,2016
0,95,10,2016
1,1,0,2016
1,1,0,2016
1,39,8,2015
1,10,4,2016
1,53,0,2013
1,1,0,2015
1,28,0,2014
1,473,222,2016
1,34,37,2014
1,3,0,2015
1,4,0,2013
1,2,0,2014
1,27,22,2011
1,1,0,2016
1,160,32,2016
1,42,45,2016
0,1,0,2016
1,243,16,2014
1,3,0,2012
1,3,0,2014
1,13,9,2014
1,22,11,2013
1,2,0,2016
1,3,2,2016
1,47,5,2016
1,0,0,0
1,18,12,2013
1,319,312,2016
1,24,2,2015
1,68,20,2016
1,1,0,2014
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,20,38,2016
1,5,0,2015
1,4,0,2016
1,320,323,2015
1,119,113,2009
0,4,0,2016
0,0,0,0
1,16,32,2013
1,121,32,2016
1,5,1,2013
1,127,21,2014
1,39,38,2013
1,216,155,2016
1,7,3,2016
1,1114,201,2016
1,9,0,2016
1,13,0,2014
1,1,0,2016
1,1,0,2016
1,49,6,2016
1,78,56,2015
1,2,0,2015
1,16,76,2015
1,2,0,2016
1,280,5,2013
1,20,19,2013
1,5,0,2015
1,33,4,2016
1,13,1,2014
1,235,49,2015
1,78,25,2013
1,40,18,2013
1,44,0,2013
1,14,0,2014
1,6,18,2015
1,7,0,2013
1,23,0,2016
1,372,407,2016
1,21,11,2014
1,144,66,2015
0,1,0,2016
0,1,0,2016
0,1,0,2016
0,1,0,2016
0,1,0,2016
1,75,58,2013
1,193,98,2015
1,41,44,2013
1,7,0,2016
1,5,2,2015
1,2743,6350,2016
1,59,0,2015
1,16,1,2015
1,292,112,2014
1,7,0,2013
1,2,0,2008
1,362,107,2016
1,43,0,2014
1,563,211,2013
1,14,0,2015
1,7,0,2015
1,280,194,2013
1,49,16,2014
1,60,1,2014
1,1,0,2013
1,58,10,2014
1,34,22,2016
1,24,19,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,31,0,2014
1,26,2,2016
1,189,117,2016
1,405,273,2015
1,97,11,2012
1,3,0,2016
1,13,15,2013
1,44,18,2016
1,30,3,2015
1,87,92,2015
1,15,1,2015
1,37,48,2013
1,13,5,2016
1,24,0,2015
1,2,0,2014
1,183,5,2014
1,27,6,2014
1,0,0,0
1,17,3,2012
1,6,0,2015
0,35,0,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,150,68,2014
1,81,6,2016
1,1,0,2015
1,1,0,2015
1,9,35,2015
1,166,12,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,24,0,2013
1,207,169,2016
1,1,1,2014
1,11,7,2014
1,340,13,2016
1,292,143,2016
1,36,124,2014
1,122,24,2013
1,78,109,2015
1,27,0,2014
0,1,0,2015
1,1,2,2015
1,2,0,2014
1,35,3,2016
1,567,13,2016
1,242,4,2015
1,739,18,2016
1,2,1,2015
1,16,42,2014
0,1,0,2015
1,899,1,2015
1,294,198,2016
0,1,0,2014
1,1,0,2013
1,354,114,2016
1,41,0,2016
1,19,0,2014
0,0,0,0
1,24,27,2015
1,129,4,2015
1,3,2,2015
1,2,2,2013
1,15,0,2016
1,4,16,2014
1,185,167,2015
1,15,4,2015
1,459,55,2016
1,33,9,2016
1,437,0,2014
1,510,366,2015
1,131,112,2015
1,622,458,2016
1,813,9,2016
1,18,17,2015
1,11,0,2016
1,3,0,2016
1,1,0,2012
1,850,60,2014
1,10,7,2014
1,0,0,0
1,0,0,0
1,0,0,0
1,20,5,2016
1,110,0,2016
1,16,0,2016
1,704,103,2015
1,851,533,2016
1,43,4,2015
1,22,1,2014
1,0,0,0
1,0,0,0
1,0,0,0
1,11,14,2015
1,215,155,2016
0,1,0,2015
1,167,53,2013
1,0,0,0
1,26,34,2013
1,303,43,2016
1,2,0,2015
1,318,988,2015
1,181,26,2015
1,408,113,2016
1,21,12,2015
1,403,89,2013
0,7,0,2013
1,161,197,2015
1,14,0,2015
0,0,0,0
0,0,0,0
0,0,0,0
1,4,0,2014
1,6,0,2013
1,1,2,2014
1,8,9,2015
1,3,1,2014
1,9,28,2013
1,1161,17,2016
1,2,0,2014
1,279,26,2015
1,50,8,2013
1,21,20,2016
1,7,0,2016
1,6,0,2012
1,24,39,2015
1,35,71,2014
1,74,0,2016
1,51,29,2015
1,212,220,2015
1,20,0,2015
1,23,0,2015
1,365,28,2013
1,8,0,2013
0,0,0,0
1,1261,1213,2016
1,48,16,2014
1,226,634,2016
1,18,11,2013
1,6,14,2015
1,1,0,2016
1,94,37,2015
1,28,1,2015
1,279,123,2016
1,1,0,2015
1,214,50,2016
0,498,820,2016
1,308,13,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,127,47,2016
1,10,0,2015
1,121,240,2014
1,7,0,2013
1,4,0,2015
1,2,1,2013
1,7,9,2010
1,7,1,2014
1,25,0,2016
1,20,34,2015
1,1198,1932,2016
1,106,31,2016
1,18,13,2015
1,324,48,2014
1,0,0,0
1,3,3,2016
1,20,25,2013
1,68,8,2015
1,14,0,2015
1,1,0,2014
1,5,0,2013
1,203,0,2016
0,1,0,2015
0,1,0,2015
1,23,2,2015
1,6,0,2016
1,6,1,2016
1,69,76,2015
1,510,268,2014
1,42,3,2015
1,59,4,2014
1,11,19,2013
1,3,1,2014
1,9,3,2014
1,34,16,2015
1,14,0,2005
1,31,3,2015
1,52,0,2013
1,14,12,2016
1,1,2,2013
1,0,0,0
1,26,15,2016
1,6,4,2016
1,37,55,2016
1,3,3,2015
1,7,0,2016
1,8,4,2013
1,3293,128,2016
1,6,8,2015
1,0,0,2014
1,5,0,2015
1,7,0,2016
1,225,133,2016
1,71,24,2016
1,18,3,2013
1,233,143,2016
1,5,5,2013
1,995,61,2016
1,14,15,2013
1,1,2,2016
1,1,2,2016
0,5,0,2011
1,47,45,2013
1,273,26,2016
1,75,32,2016
1,10,0,2015
1,177,13,2013
1,157,7,2014
1,12,2,2013
1,11,31,2016
1,3,0,2014
1,7,10,2016
1,117,13,2016
1,489,162,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,5,2,2016
1,3,12,2013
1,22,49,2016
1,14,0,2013
1,119,35,2016
1,387,100,2016
1,30,2,2013
1,4,1,2013
1,156,4,2016
1,526,513,2016
1,63,2,2014
1,100,13,2016
1,256,14,2014
1,24,7,2006
1,210,57,2015
1,586,960,2016
1,477,110,2016
1,725,428,2016
1,3,0,2015
1,0,0,0
1,188,8,2015
1,609,26,2016
1,265,182,2016
1,291,44,2015
0,1,0,2016
1,225,1,2012
1,11,1,2013
0,6,11,2015
1,77,33,2016
1,2,0,2015
1,97,1,2016
1,4,0,2014
1,3,0,2015
1,5,0,2012
1,34,56,2016
1,1,5,2016
1,97,10,2016
1,115,138,2013
1,1,0,2014
1,1062,485,2016
1,1,0,2013
1,1,0,2013
1,14,12,2015
1,6,10,2014
1,2,0,2015
1,491,148,2016
1,256,255,2014
1,207,116,2016
1,1197,433,2016
1,331,2,2015
1,0,0,0
1,167,52,2014
1,6,0,2009
1,3,0,2014
1,79,94,2016
1,1,0,2015
1,90,0,2015
1,245,273,2016
1,4,0,2014
1,4,0,2014
1,49,64,2016
1,103,36,2014
1,9,7,2014
0,1,3,2016
1,31,1,2013
1,221,25,2015
1,569,373,2016
1,194,21,2016
1,45,75,2016
1,51,0,2014
1,166,47,2016
1,1296,274,2016
1,330,7,2016
1,132,99,2016
1,174,69,2013
1,2,2,2013
1,15,17,2016
1,520,160,2016
1,303,5,2015
1,49,12,2014
1,1704,235,2016
1,1,3,2016
1,4,0,2015
1,104,186,2016
1,4,6,2015
1,0,0,0
1,14,0,2015
1,4,3,2015
1,0,0,0
1,201,50,2014
1,1,0,2013
1,82,63,2014
1,281,122,2016
1,8,0,2016
1,132,132,2015
1,6,0,2013
1,6,0,2005
1,3,0,2015
1,83,37,2013
1,47,61,2014
1,738,492,2016
1,25,37,2016
1,5,0,2014
1,241,101,2016
1,80,26,2016
1,4,3,2016
1,0,0,2013
1,1087,673,2016
1,1,3,2015
1,3,4,2015
1,1,0,2013
1,4,0,2016
1,2459,5172,2016
1,9,6,2015
1,3,2,2014
1,26,12,2016
0,29,0,2016
1,795,683,2016
1,0,0,0
1,0,0,0
1,35,0,2015
1,3,0,2016
1,4,0,2016
1,15,8,2012
1,16,3,2011
1,3,6,2014
1,1498,249,2016
1,20,29,2015
1,64,7,2015
1,617,160,2016
1,2,2,2016
0,13,9,2016
1,1804,809,2016
1,274,0,2014
1,346,106,2016
1,1,0,2008
1,2,0,2015
1,1,1,2011
1,172,0,2013
1,2,1,2016
1,19,43,2016
1,0,0,2013
1,51,66,2015
1,2,0,2014
1,348,35,2016
1,38,15,2013
0,2,0,2014
1,2,0,2011
1,2,0,2016
1,14,0,2013
1,0,0,0
1,2,1,2007
1,654,109,2016
1,71,0,2016
1,4,0,2015
1,11,23,2016
1,94,0,2015
1,502,34,2016
1,43,7,2015
1,70,7,2016
1,5,0,2016
1,297,80,2014
1,101,90,2013
1,12,1,2010
1,199,205,2015
1,3,0,2014
1,5,0,2015
1,44,85,2016
1,38,23,2014
1,295,177,2015
1,746,1068,2016
1,791,1103,2016
1,0,0,2015
1,1061,889,2016
1,36,2,2015
1,168,51,2016
1,76,0,2016
1,188,79,2016
1,6,0,2013
1,3956,119,2013
1,251,122,2014
1,187,32,2016
1,9,0,2015
1,181,147,2013
1,6,2,2016
1,19,14,2014
1,157,165,2015
1,57,8,2016
0,0,0,0
1,27,12,2014
1,1,0,2011
1,518,106,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,674,1156,2016
1,1103,85,2016
1,1,1,2008
1,93,275,2016
1,0,0,2013
1,2,0,2015
1,181,243,2016
0,1,0,2014
0,1,0,2016
1,6,0,2009
1,66,44,2016
1,2,0,2012
1,39,4,2016
1,8,6,2014
1,4,6,2014
1,51,7,2015
1,630,146,2016
1,2,2,2014
1,14,28,2015
1,0,0,0
0,142,0,2016
1,5,2,2014
1,30,12,2014
1,2,1,2016
1,14,4,2015
1,174,249,2013
1,15,1,2016
0,500,277,2016
1,17,0,2015
1,23,9,2015
1,12,0,2012
0,1,1,2014
1,6,8,2015
0,1,2,2013
1,6,0,2014
1,10,7,2013
1,41,50,2016
1,1,2,2014
1,78,73,2015
0,3,0,2009
1,8,0,2014
1,395,93,2016
1,699,338,2015
1,448,919,2016
1,20,1,2014
1,1,0,2014
1,17,14,2015
1,108,38,2016
1,4,1,2014
1,992,185,2015
1,47,7,2014
1,303,14,2013
1,84,130,2016
1,10,9,2013
1,186,81,2015
1,2,2,2015
1,2,2,2015
1,40,20,2016
1,16,3,2013
1,45,47,2013
1,2,0,2008
0,7,1,2016
1,0,0,2015
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,105,21,2014
1,44,7,2012
1,19,0,2013
1,2,0,2014
1,2,0,2014
1,1,0,2015
1,128,73,2015
