Patron Type Definition,Total Checkouts,Total Renewals,Circulation Active Year
1,256,34,2016
1,7,9,2014
1,1667,1362,2016
1,1991,15,2016
1,2283,128,2016
1,798,157,2016
1,225,3,2016
1,2165,1592,2016
1,163,22,2016
1,15,10,2015
1,532,270,2016
1,382,308,2015
1,150,150,2014
1,92,14,2016
1,1871,75,2016
1,8,0,2010
1,476,563,2016
1,190,64,2014
1,48,74,2013
1,1433,5,2016
1,32,16,2015
1,13,0,2016
1,34,1,2013
1,728,158,2016
1,358,35,2014
1,137,89,2016
1,126,49,2016
1,204,96,2016
1,315,109,2016
1,15,13,2008
1,62,60,2016
1,646,18,2016
1,385,178,2016
1,55,0,2016
1,1,2,2004
1,9,0,2013
1,11,2,2016
1,83,38,2015
1,238,24,2016
1,169,149,2016
1,525,76,2016
1,211,179,2015
1,133,2,2016
1,306,135,2016
1,55,6,2016
1,1309,1899,2016
1,191,208,2015
1,299,245,2016
1,189,27,2015
1,196,41,2013
1,834,264,2016
1,956,345,2016
1,37,2,2010
1,2203,776,2016
1,1354,460,2016
1,106,32,2014
1,16,20,2014
1,89,10,2013
1,107,120,2016
1,325,129,2014
1,96,84,2016
1,7,0,2011
1,948,1110,2016
1,83,21,2015
1,240,71,2013
1,36,9,2015
1,303,229,2016
1,96,35,2009
1,801,1021,2016
1,43,104,2016
1,22,0,2014
1,40,3,2016
1,68,19,2016
1,79,15,2011
1,321,0,2016
1,231,70,2016
1,567,7,2014
1,157,83,2014
1,154,46,2016
1,1788,139,2016
1,2,1,2010
1,302,6,2015
1,35,55,2015
1,91,23,2016
1,572,364,2016
1,64,39,2015
1,64,15,2015
1,133,23,2016
1,775,27,2016
0,652,182,2016
1,218,231,2016
1,164,33,2013
1,1077,217,2016
1,115,75,2016
1,817,788,2016
1,1092,761,2016
1,1339,1069,2016
1,302,135,2016
1,39,63,2014
1,3,0,2014
1,297,376,2016
1,23,11,2015
1,56,38,2015
1,177,54,2015
1,225,452,2014
1,60,61,2015
1,1861,1200,2015
1,1,4,2012
1,104,10,2016
1,440,181,2016
1,2124,762,2016
1,566,532,2013
1,16,2,2008
1,852,456,2016
1,4188,2483,2016
1,459,45,2016
1,122,58,2016
1,884,49,2016
1,14,0,2008
1,354,21,2016
1,125,31,2014
1,972,1407,2016
1,87,142,2015
1,20,8,2013
1,395,100,2016
1,120,31,2014
1,93,14,2016
1,775,96,2016
1,305,91,2015
1,68,82,2014
1,86,14,2015
1,1451,176,2016
1,1434,266,2016
1,30,1,2009
1,676,829,2016
1,238,184,2016
1,379,235,2013
1,0,0,0
1,116,73,2016
1,9,3,2014
1,8,4,2013
1,423,34,2016
1,393,78,2016
1,129,15,2014
1,1807,1618,2016
1,5,2,2015
1,63,51,2015
1,431,273,2016
1,50,16,2014
1,14,2,2016
1,27,49,2016
1,109,14,2014
1,89,54,2016
1,616,430,2016
1,10,1,2016
1,167,5,2014
1,64,13,2010
1,107,33,2013
1,115,9,2016
1,40,58,2016
1,272,274,2016
1,154,62,2015
1,834,1120,2016
1,17,3,2016
1,3707,389,2016
1,3,2,2014
1,114,84,2015
1,503,578,2016
1,48,24,2016
1,773,410,2016
1,57,52,2016
1,549,353,2016
1,468,222,2016
1,319,180,2015
1,2249,12,2016
1,89,34,2015
1,1790,3370,2016
1,679,1669,2016
1,188,19,2015
1,70,38,2015
1,706,58,2016
1,267,435,2016
1,726,965,2016
1,45,32,2014
1,4,8,2015
1,252,169,2016
1,444,15,2013
1,211,114,2016
1,135,73,2016
1,57,12,2016
1,2335,283,2015
1,54,58,2016
1,309,110,2016
1,274,607,2016
1,546,702,2016
1,230,27,2016
1,246,95,2016
1,18,13,2016
1,419,289,2016
1,1262,101,2016
1,174,38,2016
1,9,2,2013
1,107,93,2016
1,537,995,2016
1,4,4,2007
1,327,20,2016
1,1942,369,2016
1,1922,255,2016
1,191,63,2016
1,92,17,2014
1,14,1,2013
1,382,184,2016
1,394,113,2016
1,10521,621,2016
1,107,20,2014
1,4,0,2016
1,403,227,2016
1,21,8,2015
1,98,107,2014
1,262,77,2014
1,163,21,2016
1,810,53,2016
1,121,17,2016
1,79,86,2014
1,1174,127,2016
1,698,622,2016
1,1961,4793,2016
1,2294,173,2015
1,15,0,2006
1,366,61,2016
1,37,19,2016
1,348,318,2016
1,182,43,2016
1,191,234,2014
1,23,4,2016
1,558,491,2016
1,109,115,2016
1,87,21,2016
1,210,9,2016
1,705,3,2016
1,17,4,2013
1,16,9,2016
1,79,1,2016
1,170,31,2016
1,30,3,2016
1,2,0,2016
1,70,10,2015
1,822,717,2016
1,382,619,2016
1,2,0,2016
1,103,33,2016
1,137,159,2011
1,2324,2100,2016
1,19,35,2016
1,507,532,2015
1,2903,217,2016
1,452,58,2014
1,71,23,2015
1,156,41,2014
1,46,54,2015
1,512,339,2014
1,9,16,2014
1,2,0,2004
1,231,38,2016
1,483,465,2016
1,440,169,2016
1,108,6,2016
1,101,9,2015
1,1299,400,2016
1,185,39,2016
1,31,54,2016
1,21,2,2014
1,2267,1070,2016
1,62,36,2016
1,21,4,2016
1,146,105,2016
1,23,0,2016
1,79,88,2015
1,84,35,2016
1,687,627,2016
1,835,334,2015
1,2858,521,2016
1,32,31,2015
1,105,89,2014
1,249,239,2016
1,145,56,2016
1,410,319,2016
1,79,2,2013
1,709,231,2016
1,8,0,0
1,124,22,2013
1,46,25,2014
1,467,71,2016
1,18,2,2014
1,45,13,2016
1,70,5,2016
1,2322,2814,2016
1,38,68,2013
1,116,120,2016
1,95,41,2016
1,246,66,2016
1,98,40,2016
1,21,33,2015
1,1344,750,2016
1,452,397,2016
1,1885,534,2016
1,298,114,2016
1,6,7,2015
1,236,55,2016
1,29,0,2013
1,179,26,2016
1,38,4,2013
1,234,60,2015
1,1009,591,2016
1,6,11,2016
1,444,250,2016
1,316,258,2014
1,423,11,2014
1,25,2,2015
1,79,26,2014
1,329,179,2016
1,99,30,2014
1,295,112,2016
1,252,71,2016
1,524,125,2014
1,73,0,2013
1,21,5,2015
1,2890,734,2016
1,99,54,2016
1,798,381,2016
1,68,29,2015
1,14,15,2013
1,144,34,2015
1,111,95,2012
1,6335,375,2016
1,865,744,2009
1,608,312,2015
1,139,38,2015
1,449,252,2016
1,321,81,2016
1,141,148,2016
1,26,4,2014
1,152,75,2011
1,1524,671,2016
1,4,0,2008
1,62,9,2013
1,16,12,2014
1,65,12,2016
1,5,0,2010
1,67,1,2013
1,407,172,2016
1,658,348,2016
1,2568,1420,2016
0,3050,1565,2016
1,96,95,2014
1,16,3,2008
0,47,5,2013
1,942,224,2016
1,426,406,2016
1,73,9,2015
1,106,171,2016
1,145,30,2016
1,269,350,2016
1,1511,17,2016
1,194,122,2016
1,455,37,2016
1,2064,4161,2016
1,75,57,2014
1,149,28,2016
1,93,58,2013
1,32,12,2014
1,124,75,2013
1,235,189,2016
1,25,0,2014
1,384,76,2010
1,54,46,2013
1,147,11,2014
1,11,1,2013
1,36,1,2016
1,13,8,2016
1,507,88,2016
1,137,45,2016
1,71,9,2016
1,158,51,2014
1,71,23,2015
1,526,400,2016
1,0,0,2010
1,18,0,2015
1,288,425,2016
1,84,50,2016
1,74,10,2016
1,172,31,2015
1,172,66,2016
1,18,2,2013
1,100,83,2016
1,20,0,2015
1,698,787,2016
1,201,162,2016
1,333,189,2016
1,140,6,2013
1,1410,475,2016
1,19,0,2015
1,861,301,2016
1,93,104,2016
1,50,16,2015
1,352,419,2013
1,47,10,2015
1,2600,940,2016
1,35,11,2016
1,392,1,2016
1,101,221,2011
1,902,74,2014
1,37,17,2015
1,5040,2063,2015
1,350,344,2016
1,40,28,2016
1,70,46,2016
1,51,45,2016
1,533,48,2013
1,612,72,2016
1,80,104,2005
1,60,80,2016
1,16,40,2013
1,82,28,2016
1,1090,413,2016
1,616,121,2015
1,5,20,2015
1,85,16,2013
1,30,5,2015
1,1269,36,2015
1,920,579,2016
1,298,133,2016
1,689,730,2015
1,156,213,2014
1,115,31,2015
1,957,446,2016
1,333,117,2016
1,651,1051,2016
1,2261,1206,2016
1,450,12,2015
1,6,0,2007
1,1438,90,2016
1,283,15,2013
1,45,0,2016
1,19,4,2012
1,19,0,2005
1,192,151,2016
1,3196,59,2016
1,134,47,2014
