Library_Full_Name,Ontario_Library_Service_Region,Type_of_Library_Service,City/Town,No_of_Active_Library_Cardholders,Total_Operating_Revenues,Physical_materials,Electronic_materials,Librarians,Library_Technicians,Total_circulation_of_all_library_materials,No_of_standard_reference_transactions,No_of_electronic_reference_transactions,No_of_Readers_Advisory_transactions,Number_of_technology_support_requests
Niagara Falls,Southern Ontario Library Service,Public or Union Library,Niagara Falls,49197,6418347,88631,285272,7,6,10932,203,3,113,124
Niagara-on-the-Lake,Southern Ontario Library Service,Public or Union Library,Niagara-on-the-Lake,8283,930440,46649,18723,2,1,5540,54,6,12,51
Nipigon Twp,Ontario Library Service - North,Public or Union Library,Nipigon,607,116352,5806,2447,0,1,182,3,2,14,6
Nipissing FN,Ontario Library Service - North,First Nations Library,Garden Village,55,104084,1800,500,1,0,4,0,0,0,2
Norfolk County,Southern Ontario Library Service,Public or Union Library,Simcoe,18203,3547825,125063,188998,3,6,4126,401,42,111,137
North Bay,Ontario Library Service - North,Public or Union Library,North Bay,46951,2764937,164505,96520,5,4,4898,281,3,63,12
North Grenville Public Library,Southern Ontario Library Service,Public or Union Library,Kemptville,5059,577218,27889,16821,1,2,1778,44,6,13,19
North Kawartha Twp,Southern Ontario Library Service,Public or Union Library,Apsley,3698,328949,12063,8044,0,1,406,7,5,17,23
North Perth,Southern Ontario Library Service,Public or Union Library,Monkton,2839,891244,42405,26910,1,1,2012,59,1,17,4
North Shore Twp,Ontario Library Service - North,Contracting Municipality,Algoma Mills,0,2007,0,0,0,0,0,0,0,0,0
Northeastern Manitoulin and the Islands,Ontario Library Service - North,Public or Union Library,Little Current On,595,292890,10637,2554,0,0,260,3,1,6,6
O'Connor Twp,Ontario Library Service - North,Contracting Municipality,Kakabeka Falls,0,1220,0,0,0,0,0,0,0,0,0
Oakville,Southern Ontario Library Service,Public or Union Library,Oakville,67573,12284631,589953,725770,25,10,33868,285,69,131,383
Ojibways of Onigaming FN,Ontario Library Service - North,First Nations Library,Nestor Falls,85,34859,7000,1000,0,0,30,0,0,0,0
Oliver Paipoonge,Ontario Library Service - North,Public or Union Library,Murillo,805,116378,10489,2172,0,0,613,35,15,60,6
Opasatika,Ontario Library Service - North,Public or Union Library,Opasatika,12,7041,0,0,0,0,12,0,0,1,3
