Library_Full_Name,Ontario_Library_Service_Region,Type_of_Library_Service,City/Town,No_of_Active_Library_Cardholders,Total_Operating_Revenues,Physical_materials,Electronic_materials,Librarians,Library_Technicians,Total_circulation_of_all_library_materials,No_of_standard_reference_transactions,No_of_electronic_reference_transactions,No_of_Readers_Advisory_transactions,Number_of_technology_support_requests
Barrie,Southern Ontario Library Service,Public or Union Library,Barrie,41145,10122393,474919,634703,14,6,22657,76,56,44,130
Beausoleil First Nation Public Library,Southern Ontario Library Service,First Nations Library,Christian Island,130,93306,0,0,0,0,23,10,0,2,3
Beckwith Twp,Southern Ontario Library Service,Contracting Municipality,Carleton Place,0,135795,0,0,0,0,0,0,0,0,0
Belleville,Southern Ontario Library Service,Public or Union Library,Belleville,19068,2823197,90361,130303,6,10,7270,72,15,34,102
Big Grassy FN,Ontario Library Service - North,First Nations Library,Morson,189,43628,0,0,1,0,150,3,0,0,0
Biigtigong Nishnaabeg,Ontario Library Service - North,First Nations Library,Heron Bay,87,74144,244,0,0,0,60,0,0,25,0
Billings Twp,Ontario Library Service - North,Public or Union Library,Kagawong,250,48099,7116,736,0,0,30,1,1,4,3
Bkejwanong FN,Southern Ontario Library Service,First Nations Library,Wallaceburg,910,86301,350,637,0,0,53,6,6,0,9
Black River-Matheson Twp,Ontario Library Service - North,Public or Union Library,Matheson,425,121643,10424,0,0,0,160,0,0,0,3
Blind River,Ontario Library Service - North,Public or Union Library,Blind River,822,197970,14069,235,0,0,406,171,38,61,13
Blue Mountains,Southern Ontario Library Service,Public or Union Library,Thornbury,4682,1418858,54620,28737,4,2,1861,53,5,21,33
Bonfield,Ontario Library Service - North,Public or Union Library,Bonfield,438,94426,17109,2884,0,0,206,6,0,3,0
Bonnechere Union,Southern Ontario Library Service,Public or Union Library,Eganville,1698,318457,10087,5466,1,0,489,222,27,11,7
Bracebridge,Southern Ontario Library Service,Public or Union Library,Bracebridge,10725,1311914,92167,48198,3,2,2023,17,23,32,38
Bradford West Gwillimbury Town,Southern Ontario Library Service,Public or Union Library,Bradford,15031,2951031,228067,114385,5,0,3939,147,7,50,160
Brampton,Southern Ontario Library Service,Public or Union Library,Brampton,137782,21957832,995746,1152852,27,29,62841,1797,49,747,2542
Brant County,Southern Ontario Library Service,Public or Union Library,Paris,21825,2547937,100324,117013,7,2,5978,596,20,226,119
Brantford,Southern Ontario Library Service,Public or Union Library,Brantford,18585,5935743,273972,356339,10,11,14601,206,11,32,151
Brighton Public Library Board,Southern Ontario Library Service,Public or Union Library,Brighton,3200,733196,40118,59773,0,0,1770,59,3,35,39
Britt Area,Ontario Library Service - North,LSB Library,Britt,250,1834,1805,0,0,0,288,27,53,0,0
Brock Twp,Southern Ontario Library Service,Public or Union Library,Beaverton,2932,836177,44790,48177,1,0,1436,27,4,15,8
Brockville,Southern Ontario Library Service,Public or Union Library,Brockville,3999,999541,45469,20269,1,1,2376,30,10,8,40
Bruce County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Town of Saugeen Shores,22744,4810113,296267,97689,6,5,9607,135,43,120,75
Bruce Mines & Plummer Additional Union,Ontario Library Service - North,Public or Union Library,Bruce Mines,715,82985,3403,1613,0,0,141,40,4,15,3
"Brudenell, Lyndoch & Raglan Twp",Southern Ontario Library Service,Contracting Municipality,Palmer Rapids,0,6584,0,0,0,0,0,0,0,0,0
"Burk's Falls, Armour & Ryerson Union",Ontario Library Service - North,Public or Union Library,Burk's Falls,1298,209633,10793,1451,0,0,245,12,0,12,9
Burlington,Southern Ontario Library Service,Public or Union Library,Burlington,83643,12307672,523239,639016,14,5,35532,380,25,144,497
Caledon,Southern Ontario Library Service,Public or Union Library,Bolton,17906,6006423,195828,249183,15,9,7413,57,8,87,111
Callander,Ontario Library Service - North,Public or Union Library,Callander,1045,376504,16831,1479,0,1,303,9,6,25,24
Cambridge,Southern Ontario Library Service,Public or Union Library,Cambridge,57429,8394503,376495,282849,15,0,14138,565,49,181,363
Carleton Place,Southern Ontario Library Service,Public or Union Library,Carleton Place,5295,703886,685,19218,1,0,2918,8,0,4,18
Carling Twp,Ontario Library Service - North,Contracting Municipality,Parry Sound,0,49295,0,0,0,0,0,0,0,0,0
Carlow/Mayo Public Library,Southern Ontario Library Service,Public or Union Library,Bancroft,491,26291,4166,2058,0,0,53,0,0,3,2
Casey Twp,Ontario Library Service - North,Contracting Municipality,New Liskeard,0,3920,0,0,0,0,0,0,0,0,0
Casselman,Southern Ontario Library Service,Public or Union Library,Casselman,2025,21531,15369,0,0,0,209,41,2,2,5
"Cavan Monaghan Public Library Board, Township of",Southern Ontario Library Service,Public or Union Library,Millbrook,1500,445778,21356,15322,0,0,981,7,0,4,6
Central Manitoulin Twp,Ontario Library Service - North,Public or Union Library,Mindemoya,3630,112705,12355,1533,0,0,870,18,0,0,89
Centre Hastings,Southern Ontario Library Service,Public or Union Library,Madoc,1152,226403,7153,481,0,0,364,5,8,4,6
Chamberlain Twp,Ontario Library Service - North,Contracting Municipality,Englehart,0,6048,0,0,0,0,0,0,0,0,0
Champlain Twp,Southern Ontario Library Service,Public or Union Library,Vankleek Hill,2000,267386,28208,7166,0,0,692,23,7,21,6
Chapleau Twp,Ontario Library Service - North,Public or Union Library,Chapleau,279,49842,4244,1464,0,0,106,2,1,0,2
Chapple Twp,Ontario Library Service - North,Contracting Municipality,Barwick,0,5807,0,0,0,0,0,0,0,0,0
"Charlton and Dack, Municipality of",Ontario Library Service - North,Contracting Municipality,Englehart,0,1446,0,0,0,0,0,0,0,0,0
Chatham-Kent,Southern Ontario Library Service,Public or Union Library,Chatham,38535,5429896,255214,574749,9,4,13333,50,34,384,253
Chippewas of Georgina Island FN,Southern Ontario Library Service,First Nations Library,Sutton West,192,33514,1500,0,0,0,34,0,0,0,0
Chippewas of Kettle & Stony Point FN,Southern Ontario Library Service,First Nations Library,Kettle and Stony Point,87,17366,0,637,0,0,10,15,8,0,15
Chippewas of Rama FN,Southern Ontario Library Service,First Nations Library,Rama,287,192534,4638,0,0,0,144,7,0,0,16
Clarence-Rockland,Southern Ontario Library Service,Public or Union Library,Rockland,12315,1134805,67926,14588,0,1,2067,43,3,6,10
"Clarington, Municipality of",Southern Ontario Library Service,Public or Union Library,Bowmanville,43900,3835278,82503,26336,8,3,17371,13,4,3,17
Clearview Twp,Southern Ontario Library Service,Public or Union Library,Stayner,2590,1049432,70242,0,1,0,1012,75,21,41,25
Cobalt Twp,Ontario Library Service - North,Public or Union Library,Cobalt,185,84610,3308,2330,0,0,15,2,1,1,2
Cobourg,Southern Ontario Library Service,Public or Union Library,Cobourg,10576,1467581,60757,38473,2,2,3949,118,10,31,38
Cochrane Public Library Board,Ontario Library Service - North,Public or Union Library,Cochrane,2467,381401,21259,5075,0,1,410,9,2,10,7
Coleman Twp,Ontario Library Service - North,Contracting Municipality,Coleman Township,0,2000,0,0,0,0,0,0,0,0,0
Collingwood,Southern Ontario Library Service,Public or Union Library,Collingwood,8254,1977068,79151,29470,3,2,8074,236,157,51,98
Conmee Twp,Ontario Library Service - North,Contracting Municipality,Kakabeka Falls,0,1225,0,0,0,0,0,0,0,0,0
Cornwall,Southern Ontario Library Service,Public or Union Library,Cornwall,8905,2453526,205870,74005,3,4,4647,148,24,31,56
Cramahe Twp,Southern Ontario Library Service,Public or Union Library,Colborne,1729,329218,36622,17806,1,0,1131,20,9,20,15
Curve Lake FN,Southern Ontario Library Service,First Nations Library,"Curve Lake,ON",269,42215,2867,5000,1,0,57,0,1,5,1
Dawson Twp,Ontario Library Service - North,Contracting Municipality,Rainy River,0,6681,0,0,0,0,0,0,0,0,0
Deep River,Southern Ontario Library Service,Public or Union Library,Deep River,1667,524488,35561,10308,1,0,1469,69,12,17,16
Delaware FN,Southern Ontario Library Service,First Nations Library,Thamesville,70,27694,0,0,1,0,5,5,0,0,0
Deseronto,Southern Ontario Library Service,Public or Union Library,Deseronto,731,170006,12242,2811,2,0,7362,29,12,33,112
Dokis FN,Ontario Library Service - North,First Nations Library,Dokis First Nation,35,52373,544,557,1,0,100,0,0,0,0
Dorion Twp,Ontario Library Service - North,Public or Union Library,Dorion,129,47366,5627,662,0,0,45,0,0,0,0
Douro-Dummer Twp,Southern Ontario Library Service,Public or Union Library,Douro,612,177392,13076,6000,0,0,270,15,5,24,9
Dryden,Ontario Library Service - North,Public or Union Library,Dryden,2175,635316,18306,8584,1,1,897,2,0,3,11
Dubreuilville Twp,Ontario Library Service - North,Public or Union Library,Dubreuilville,125,1913,100,159,1,0,8,1,1,0,2
Ear Falls Twp,Ontario Library Service - North,Public or Union Library,Ear Falls,178,106613,7752,912,0,0,63,4,1,2,1
East Ferris,Ontario Library Service - North,Public or Union Library,Astorville,1043,194211,7777,2355,0,0,435,10,4,12,10
East Garafraxa Twp,Southern Ontario Library Service,Contracting Municipality,Grand Valley,0,42175,0,0,0,0,0,0,0,0,0
East Gwillimbury,Southern Ontario Library Service,Public or Union Library,Holland Landing,8934,2105008,107111,61638,6,3,4078,59,6,15,4
East Hawkesbury Twp,Southern Ontario Library Service,Contracting Municipality,St. Eugene,0,18425,0,0,0,0,0,0,0,0,0
Edwardsburgh/Cardinal Twp,Southern Ontario Library Service,Public or Union Library,Spencerville,1075,128112,13272,3633,0,0,458,16,3,6,2
Elgin County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",St. Thomas,10688,3372099,199021,204407,7,2,5844,103,23,140,102
Elizabethtown - Kitley,Southern Ontario Library Service,Public or Union Library,Addison,1491,119574,10954,4067,0,0,285,1,0,22,0
Elliot Lake,Ontario Library Service - North,Public or Union Library,Elliot Lake,2081,572625,34873,10932,0,0,1085,36,25,21,12
Emo Twp,Ontario Library Service - North,Public or Union Library,Emo,748,108336,3529,0,0,1,191,1,0,1,4
Englehart,Ontario Library Service - North,Public or Union Library,Englehart,365,97714,3622,1485,0,0,149,10,1,3,2
Espanola,Ontario Library Service - North,Public or Union Library,Espanola,1201,422466,20260,10665,1,1,613,15,0,9,22
Essa,Southern Ontario Library Service,Public or Union Library,Angus,3768,946947,70500,9341,1,1,1765,75,8,36,32
Essex County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Essex,52127,6379595,421334,419332,2,0,15809,176,27,264,183
Evanturel Twp,Ontario Library Service - North,Contracting Municipality,Englehart,0,8569,0,0,0,0,0,0,0,0,0
Faraday Twp,Southern Ontario Library Service,Contracting Municipality,Bancroft,0,44726,0,0,0,0,0,0,0,0,0
Fauquier-Strickland Twp,Ontario Library Service - North,Public or Union Library,Fauquier,500,54516,1938,123,0,0,90,0,0,0,0
Fort Erie,Southern Ontario Library Service,Public or Union Library,Fort Erie,5092,1744488,109685,63782,3,1,2776,91,0,74,65
Fort Frances,Ontario Library Service - North,Public or Union Library,Fort Frances,2430,696103,39187,9539,1,2,1134,26,2,14,20
French River,Ontario Library Service - North,Public or Union Library,Noelville,508,194374,4376,0,0,0,152,26,32,29,136
Front of Yonge Twp,Southern Ontario Library Service,Public or Union Library,Mallorytown,344,86589,8481,2713,0,0,275,2,0,6,1
Gananoque,Southern Ontario Library Service,Public or Union Library,Gananoque,1121,233461,19364,2999,1,0,706,6,3,7,12
Garden River FN,Ontario Library Service - North,First Nations Library,Garden River,10,15741,0,0,0,0,36,9,3,2,6
Georgian Bay Twp,Southern Ontario Library Service,Public or Union Library,Honey Harbour,1274,422574,20013,2977,1,0,634,14,1,4,3
Georgina,Southern Ontario Library Service,Public or Union Library,Keswick,10020,2918214,113126,81615,5,2,5213,40,9,27,62
Gillies Twp,Ontario Library Service - North,Contracting Municipality,"Kakabeka Falls,   ON",0,984,0,0,0,0,0,0,0,0,0
Gogama LSB,Ontario Library Service - North,LSB Library,Gogama,389,5448,600,120,0,0,20,0,0,0,0
Gore Bay Union,Ontario Library Service - North,Public or Union Library,Gore Bay,679,58616,3465,1159,0,0,204,1,1,6,6
Goulais & District LSB,Ontario Library Service - North,Contracting LSB,Goulais River,0,9653,0,0,0,0,0,0,0,0,0
Grand Valley Library Board,Southern Ontario Library Service,Public or Union Library,Grand Valley,1757,408648,26449,15743,0,1,971,0,0,14,4
Gravenhurst Public Library,Southern Ontario Library Service,Public or Union Library,Gravenhurst,5490,884655,36143,23602,3,1,1772,89,7,42,42
Greater Madawaska Twp,Southern Ontario Library Service,Public or Union Library,Calabogie,385,155403,7137,3648,0,0,575,18,2,8,1
Greater Sudbury,Ontario Library Service - North,Public or Union Library,Greater Sudbury,28769,9869495,581863,227335,10,3,11692,317,14,257,315
Greenstone,Ontario Library Service - North,Public or Union Library,Geraldton,1577,524854,39495,8527,0,0,269,20,0,6,1
Grey Highlands,Southern Ontario Library Service,Public or Union Library,Flesherton,6348,605035,24175,11786,1,0,927,16,1,7,9
Grimsby,Southern Ontario Library Service,Public or Union Library,Grimsby,7765,1125375,88600,47640,2,3,3602,8,2,14,39
Guelph,Southern Ontario Library Service,Public or Union Library,Guelph,58896,13804294,1007092,256040,16,6,45298,1910,34,141,14
Haldimand County,Southern Ontario Library Service,Public or Union Library,Dunnville,12745,2838525,72915,83389,1,1,5682,72,58,144,54
Haliburton County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Haliburton,6973,1468167,71492,66512,3,0,2665,202,28,38,51
Hallebourg LSB,Ontario Library Service - North,Contracting LSB,Hallebourg,0,428,0,0,0,0,0,0,0,0,0
Halton Hills,Southern Ontario Library Service,Public or Union Library,Georgetown,18366,4221709,168939,298215,9,4,10032,426,47,199,127
Hamilton,Southern Ontario Library Service,Public or Union Library,Hamilton,178754,37579923,1981904,977806,54,22,105332,1350,61,397,741
Hamilton Twp,Southern Ontario Library Service,Contracting Municipality,Cobourg,0,343584,0,0,0,0,0,0,0,0,0
Hanover,Southern Ontario Library Service,Public or Union Library,Hanover,1496,706260,36011,13957,1,0,930,45,3,15,34
Harley Twp,Ontario Library Service - North,Contracting Municipality,New Liskeard,0,5600,0,0,0,0,0,0,0,0,0
Hastings Highlands Twp,Southern Ontario Library Service,Public or Union Library,Maynooth,992,263610,16120,4075,0,1,483,120,45,65,48
Havelock-Belmont-Methuen Twp,Southern Ontario Library Service,Public or Union Library,Havelock,1885,134373,14114,5059,0,0,289,3,1,10,6
Hawk Junction LSB,Ontario Library Service - North,Contracting LSB,Hawk Junction,0,547,0,0,0,0,0,0,0,0,0
Hawkesbury,Southern Ontario Library Service,Public or Union Library,Hawkesbury,1203,604047,32583,7182,1,2,478,193,22,78,57
"Head, Clara & Maria",Southern Ontario Library Service,Public or Union Library,Stonecliffe,247,13703,782,1310,0,0,10,0,0,0,0
Hearst Twp,Ontario Library Service - North,Public or Union Library,Hearst,892,307419,14029,1038,0,0,482,21,0,5,6
Henvey Inlet FN,Ontario Library Service - North,First Nations Library,Pickerel,1,16971,0,0,1,0,1,0,0,0,0
Hilton Union,Ontario Library Service - North,Public or Union Library,Hilton Beach,518,44308,3550,1117,0,0,122,6,0,24,0
Hornepayne Twp,Ontario Library Service - North,Public or Union Library,Hornepayne,381,139098,12799,6378,0,0,87,7,4,5,1
Horton Twp,Southern Ontario Library Service,Contracting Municipality,Renfrew,0,13539,0,0,0,0,0,0,0,0,0
Huntsville,Southern Ontario Library Service,Public or Union Library,Huntsville,4519,983597,66168,54332,3,1,3247,52,5,34,18
Huron County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Clinton,17041,3973981,156006,142713,10,1,7235,118,28,108,70
Huron Shores,Ontario Library Service - North,Public or Union Library,Iron Bridge,136,74026,4873,498,0,0,34,7,14,8,0
Ignace,Ontario Library Service - North,Public or Union Library,Ignace,268,92446,4347,2807,0,0,81,1,0,10,14
Innisfil,Southern Ontario Library Service,Public or Union Library,Innisfil,19807,4080809,147956,80387,6,4,5294,532,37,45,93
Iroquois Falls,Ontario Library Service - North,Public or Union Library,Iroquois Falls,743,184569,8747,0,0,0,429,41,0,0,0
Iskatewizaagegan No. 39 FN,Ontario Library Service - North,First Nations Library,Shoal Lake,25,13842,842,0,0,0,2,0,0,0,0
James Twp,Ontario Library Service - North,Public or Union Library,Elk Lake,387,44443,1990,1439,0,0,35,0,0,23,27
Johnson Twp,Ontario Library Service - North,Contracting Municipality,Desbarats,0,2405,0,0,0,0,0,0,0,0,0
Joly Twp,Ontario Library Service - North,Contracting Municipality,Sundridge,0,851,0,0,0,0,0,0,0,0,0
Kapuskasing,Ontario Library Service - North,Public or Union Library,Kapuskasing,1415,209488,24632,745,0,0,529,23,16,54,27
"Kawartha Lakes, City of",Southern Ontario Library Service,Public or Union Library,Lindsay,14729,2332959,320195,109400,1,7,8448,328,32,118,138
Kearney & Area,Ontario Library Service - North,Public or Union Library,Kearney,301,58696,3002,2841,0,0,111,600,0,0,0
Kenora City,Ontario Library Service - North,Public or Union Library,Kenora,3315,775354,36671,17855,0,1,1726,70,12,10,3
Kerns Twp,Ontario Library Service - North,Contracting Municipality,New Liskeard,0,911,0,0,0,0,0,0,0,0,0
"Killaloe, Hagarty & Richards Twp",Southern Ontario Library Service,Public or Union Library,Killaloe,1068,140973,7943,2331,0,0,403,23,7,0,7
Killarney,Ontario Library Service - North,Contracting Municipality,Killarney,0,1066,0,0,0,0,0,0,0,0,0
King Twp,Southern Ontario Library Service,Public or Union Library,King City,5250,2186871,116484,83074,5,8,2352,127,1,133,97
Kingston-Frontenac County,Southern Ontario Library Service,Public or Union Library,Kingston,36412,8660161,967299,295433,11,10,25238,2948,141,65,196
Kirkland Lake,Ontario Library Service - North,Public or Union Library,Kirkland Lake,1250,429743,22025,4250,0,0,384,31,4,9,3
Kitchener,Southern Ontario Library Service,Public or Union Library,Kitchener,99422,14434499,467476,869863,21,7,39670,250,6,48,225
La Nation,Southern Ontario Library Service,Public or Union Library,St-Isidore,2954,520615,58660,7209,0,1,595,45,0,62,4
La Vallee Twp,Ontario Library Service - North,Contracting Municipality,Devlin,0,6433,0,0,0,0,0,0,0,0,0
Lac Ste. Therese LSB,Ontario Library Service - North,Contracting LSB,Hearst,0,695,0,0,0,0,0,0,0,0,0
Laird Twp,Ontario Library Service - North,Contracting Municipality,Echo Bay,0,2429,0,0,0,0,0,0,0,0,0
Lake of Bays Twp,Southern Ontario Library Service,Public or Union Library,Dwight,4093,429200,23484,0,0,0,1076,10,3,9,10
Lake of The Woods Twp,Ontario Library Service - North,Contracting Municipality,Rainy River,0,5027,0,0,0,0,0,0,0,0,0
Lambton County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Wyoming,25013,8508167,435725,536078,12,4,21595,251,17,379,172
Lanark Highlands,Southern Ontario Library Service,Public or Union Library,Lanark,843,258586,18175,2723,1,0,414,7,15,5,10
Lappe Local Services Board,Ontario Library Service - North,Contracting LSB,Gorham,0,1491,0,0,0,0,0,0,0,0,0
Larder Lake Public Library,Ontario Library Service - North,Public or Union Library,Larder Lake,185,98319,2198,937,0,0,49,0,0,0,4
Laurentian Hills,Southern Ontario Library Service,Public or Union Library,Deep River,289,101149,20922,4854,0,0,169,3,1,9,3
